Date,Description,Amount,Currency
2023-03-01,Salary,78000.00,AUD
2023-03-05,Mortgage Payment,-2500.00,AUD
2023-04-10,Online Shopping,-100.00,AUD
2023-04-22,Transfer to Apex Trading Solutions,15000.00,AUD
2023-05-05,Superannuation Contribution,-1000.00,AUD
2023-06-10,Utilities Bill,-180.00,AUD
2023-07-01,Groceries,120.00,AUD
2023-08-05,Entertainment,-50.00,AUD
2023-09-05,Transfer to Apex Trading Solutions,30000.00,AUD
2023-10-01,Property Rates,-500.00,AUD
2023-11-15,Attempted Withdrawal from Apex Trading Solutions,,,
