Date,Description,Amount,Balance\n2023-03-01,Starting Balance,,
2023-03-10,Grocery Store,-50.00,,
2023-03-15,Online Payment,,-50.00\n2023-03-22,Utilities,-120.00,,
2023-03-29,Restaurant,-75.00,,
2023-04-01,AlgoTrade Pro Investment,-5000.00,,
2023-04-08,Salary Deposit,3500.00,,
2023-04-15,AlgoTrade Pro "Profit",1500.00,,
2023-04-22,Online Payment,-60.00,,
2023-04-29,Restaurant,-80.00,,
2023-05-06,Grocery Store,-45.00,,
2023-05-13,Online Payment,-70.00,,
2023-05-20,Attempted Withdrawal,-10000.00,,
2023-05-27,Salary Deposit,3500.00,,
